Sample	Taxonomy	Count
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Flavobacteriales(1.00),f:Cryomorphaceae(1.00),g:Owenweeksia(1.00),s:uncultured Owenweeksia sp.(0.71)	49
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Planctomycetota(1.00),c:Phycisphaerae(1.00),o:Phycisphaerales(1.00),f:Phycisphaeraceae(1.00),g:SM1A02(1.00),s:marine metagenome(0.19)	49
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Enterobacterales(1.00),f:Kangiellaceae(1.00),g:Pleionea(1.00),s:gamma proteobacterium GMD38C3(0.99)	43
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Rhodothermia(1.00),o:Balneolales(1.00),f:Balneolaceae(1.00),g:Balneola(1.00),s:uncultured bacterium(1.00)	29
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Cyanobacteria(1.00),c:Cyanobacteriia(1.00),o:Chloroplast(1.00),f:Rhodomonas salina(0.90)	29
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Halieaceae(1.00),g:Haliea(0.07),s:Halieaceae bacterium(0.06)	24
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(0.99),f:Spongiibacteraceae(0.99),g:Litorivivens(0.99),s:Litorivivens aequoris(0.99)	22
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Burkholderiales(1.00),f:Methylophilaceae(1.00),g:Methylotenera(1.00),s:uncultured bacterium(1.00)	17
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:JTB23(0.14),f:uncultured bacterium(0.14)	17
BiolstdM100XDilBC10e4mine	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Salinisphaerales(1.00),f:Salinisphaeraceae(1.00),g:Salinisphaera(1.00),s:uncultured bacterium(1.00)	15
